Sample	SampleSum	WeightedSampleSum
SRR094978	2.22091e+08	0.752946
SRR095765	967442	0.640612
SRR095809	9.26512e+07	0.769032
SRR095721	7.31003e+07	0.698592
SRR094979	1.87076e+08	0.712493
SRR095766	1.88957e+07	0.691904
SRR095810	558488	0.66144
SRR095722	1.70818e+07	0.700456
SRR094980	1.98996e+06	0.678962
SRR095767	5037	0.598841
SRR095811	7.6497e+07	0.754728
SRR095723	2.97894e+08	0.760951
SRR094981	6.59362e+07	0.742249
SRR095768	4.47014e+06	0.683399
SRR095812	99633	0.634162
SRR095724	2.03917e+07	0.718245
SRR095680	1.15382e+06	0.633547
SRR095769	8.74133e+07	0.759248
SRR095813	218782	0.664781
SRR095725	3.04097e+07	0.768896
SRR095681	5.31889e+06	0.651584
SRR095770	3.01567e+06	0.667608
SRR095814	2.46063e+06	0.682788
SRR095726	4.56369e+06	0.668674
SRR095682	4.89098e+06	0.68911
SRR095771	1.38442e+08	0.736445
SRR095815	832248	0.66399
SRR095727	1.78716e+07	0.741183
SRR095683	3.71395e+07	0.723701
SRR095772	6.09322e+06	0.695535
SRR095816	6.16336e+07	0.771684
SRR095728	1.31428e+08	0.773792
SRR095684	7.03394e+07	0.777294
SRR095773	6.73182e+07	0.756814
SRR095817	1.92962e+07	0.700973
SRR095729	3.22674e+06	0.68093
SRR095685	5.14631e+07	0.720793
SRR095774	8.92753e+06	0.718067
SRR095818	6.3394e+07	0.752862
SRR095730	913917	0.675336
SRR095686	6.83404e+07	0.759246
SRR095775	3.52847e+07	0.773934
SRR095819	4.66066e+07	0.715607
SRR095731	6.00634e+07	0.724203
SRR095687	2.82645e+07	0.749494
SRR095776	1.47911e+06	0.67228
SRR095820	6.69542e+07	0.746926
SRR095732	1.20963e+07	0.727031
SRR095688	1.546e+06	0.649096
SRR095777	3.88597e+06	0.717917
SRR095821	473234	0.642016
SRR095733	4.58893e+06	0.747108
SRR095689	1.42057e+07	0.760074
SRR095778	6.39559e+06	0.697784
SRR095822	3.25938e+08	0.757708
SRR095734	5.01642e+07	0.807411
SRR095690	934376	0.639676
SRR095779	64667	0.737159
SRR095823	7.91599e+06	0.672381
SRR095735	1.72373e+08	0.769557
SRR095691	1.73719e+08	0.741363
SRR095780	8.2393e+06	0.675809
SRR095824	1.2373e+08	0.775239
SRR095736	1.22126e+06	0.677379
SRR095692	1.88219e+08	0.693639
SRR095781	1.84187e+07	0.746165
