Assay_Type_s	BioSample_s	Center_Name_s	InsertSize_l	LibraryLayout_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	AssemblyName_s	BioProject_s	Consent_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
WGS	SAMN00194031	MPI-DB	180	PAIRED	Agu-1	May 29, 2014	1848	1406	Mar 01, 2011	SRR094978	SRS155653	Agu-1	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194031	MPI-DB	180	PAIRED	Agu-1	May 29, 2014	1289	714	Mar 01, 2011	SRR094979	SRS155653	Agu-1	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194143	MPI-DB	180	PAIRED	Bak-2	May 29, 2014	1426	1297	Mar 01, 2011	SRR094980	SRS155760	Bak-2	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194143	MPI-DB	180	PAIRED	Bak-2	May 29, 2014	1579	918	Mar 01, 2011	SRR094981	SRS155760	Bak-2	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194144	MPI-DB	180	PAIRED	Bak-7	May 29, 2014	596	511	Mar 01, 2011	SRR095680	SRS155761	Bak-7	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194144	MPI-DB	180	PAIRED	Bak-7	May 29, 2014	1594	1349	Mar 01, 2011	SRR095681	SRS155761	Bak-7	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194144	MPI-DB	180	PAIRED	Bak-7	May 29, 2014	1762	1430	Mar 01, 2011	SRR095682	SRS155761	Bak-7	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194145	MPI-DB	180	PAIRED	Cdm-0	May 29, 2014	1285	1097	Mar 01, 2011	SRR095683	SRS155762	Cdm-0	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194145	MPI-DB	180	PAIRED	Cdm-0	May 29, 2014	2242	1960	Mar 01, 2011	SRR095684	SRS155762	Cdm-0	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194146	MPI-DB	180	PAIRED	Del-10	May 29, 2014	573	429	Mar 01, 2011	SRR095685	SRS155763	Del-10	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194146	MPI-DB	180	PAIRED	Del-10	May 29, 2014	1475	1155	Mar 01, 2011	SRR095686	SRS155763	Del-10	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194146	MPI-DB	180	PAIRED	Del-10	May 29, 2014	791	485	Mar 01, 2011	SRR095687	SRS155763	Del-10	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194147	MPI-DB	180	PAIRED	Dog-4	May 29, 2014	757	657	Mar 01, 2011	SRR095688	SRS155764	Dog-4	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194147	MPI-DB	180	PAIRED	Dog-4	May 29, 2014	1567	957	Mar 01, 2011	SRR095689	SRS155764	Dog-4	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194147	MPI-DB	180	PAIRED	Dog-4	May 29, 2014	1924	1459	Mar 01, 2011	SRR095690	SRS155764	Dog-4	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
WGS	SAMN00194148	MPI-DB	180	PAIRED	Don-0	May 29, 2014	1890	1497	Mar 01, 2011	SRR095691	SRS155765	Don-0	<not provided>	PRJNA30811	public	Arabidopsis thaliana	ILLUMINA	SRP000248	<not provided>	<not provided>	<not provided>
